affiliation_as_published,public_person_record_count,record_type
Google DeepMind,1,affiliation_label_not_verified_organization
Google LLC,1,affiliation_label_not_verified_organization
Google X,1,affiliation_label_not_verified_organization
"Graduate School of Informatics, Kyoto University",1,affiliation_label_not_verified_organization
"Graduate School of Infromatics, Kyoto University",1,affiliation_label_not_verified_organization
Graduate Teaching Assistant - University of Notre Dame,1,affiliation_label_not_verified_organization
Graz University of Technology,7,affiliation_label_not_verified_organization
"Graz, Technical University",1,affiliation_label_not_verified_organization
Great Bay University,4,affiliation_label_not_verified_organization
Guangdong Institute of Intelligence Science and Technology,6,affiliation_label_not_verified_organization
Guangdong Institute of intelligence Science and Technology,1,affiliation_label_not_verified_organization
"Guangdong Key Laboratory of Precision Equipment and Manufacturing Technology, South China University of Technology",1,affiliation_label_not_verified_organization
Guangdong Laboratory of Artificial Intelligence and Digital Econ- omy(SZ),1,affiliation_label_not_verified_organization
Guangdong Laboratory of Artificial Intelligence and Digital Economy (SZ),7,affiliation_label_not_verified_organization
Guangdong Laboratory of Artificial Intelligence and Digital Economy(SZ),1,affiliation_label_not_verified_organization
Guangdong Polytechnic Normal University,1,affiliation_label_not_verified_organization
Guangdong Technion Israel Institute of Technology,1,affiliation_label_not_verified_organization
Guangdong University of Technology,6,affiliation_label_not_verified_organization
Guangdong University of technology,1,affiliation_label_not_verified_organization
Guangdong polytechnic normal university,1,affiliation_label_not_verified_organization
"Guangzhou Automobile Group Co., Ltd.",1,affiliation_label_not_verified_organization
"Guangzhou Saite Intelligent Technology Co., Ltd.",1,affiliation_label_not_verified_organization
Guangzhou University,7,affiliation_label_not_verified_organization
Gwangju Institute of Science and Technology,11,affiliation_label_not_verified_organization
Gwangju Institute of Science and Technology (GIST),3,affiliation_label_not_verified_organization
Gwangju Institutue of Science and Technology,1,affiliation_label_not_verified_organization
Gwangju institute of science and technology,1,affiliation_label_not_verified_organization
Gyeongsang National University,1,affiliation_label_not_verified_organization
HKU,1,affiliation_label_not_verified_organization
HKUST,7,affiliation_label_not_verified_organization
HKUST (Guangzhou),1,affiliation_label_not_verified_organization
HKUST(GZ),4,affiliation_label_not_verified_organization
"HKUST, Robotics Institute",1,affiliation_label_not_verified_organization
HUAZHONG UNIVERSITY OF SCIENCE AND TECHNOLOGY,1,affiliation_label_not_verified_organization
HUN-REN Institute for Computer Science and Control (HUN-REN SZTAKI),5,affiliation_label_not_verified_organization
HUN-REN Institute for Computer Science and Control (HUN-REN SZTAKI) and Eötvös Loránd University (ELTE),2,affiliation_label_not_verified_organization
HUNAN UNIVERSITY,1,affiliation_label_not_verified_organization
HUST,1,affiliation_label_not_verified_organization
Halmstad University,1,affiliation_label_not_verified_organization
Hangzhou Dianzi University,7,affiliation_label_not_verified_organization
Hangzhou Innovation Institute of Beihang University,1,affiliation_label_not_verified_organization
Hangzhou Innovation Institute of Beihanga University,1,affiliation_label_not_verified_organization
"Hangzhou Innovation Institute,Beihang University",1,affiliation_label_not_verified_organization
"Hangzhou Institute For Advanced Study, UCAS",1,affiliation_label_not_verified_organization
"Hangzhou Institute for Advanced Study, UCAS",1,affiliation_label_not_verified_organization
"Hangzhou Institute for Advanced Study, University of Chinese Academy of Sciences",1,affiliation_label_not_verified_organization
"Hangzhou Institute for Advanced Study,UCAS",6,affiliation_label_not_verified_organization
Hangzhou innovation institute of Beihang university,1,affiliation_label_not_verified_organization
Hanoi University of Industry,1,affiliation_label_not_verified_organization
Hanoi University of Science and Technology,5,affiliation_label_not_verified_organization
Hanyang University,14,affiliation_label_not_verified_organization
Hanyang university,1,affiliation_label_not_verified_organization
Harbin Engineering University,4,affiliation_label_not_verified_organization
"Harbin Insitute of Technology, Shenzhen",1,affiliation_label_not_verified_organization
Harbin Institude of Technology,1,affiliation_label_not_verified_organization
Harbin Institute of Technology,27,affiliation_label_not_verified_organization
Harbin Institute of Technology (Shenzhen),5,affiliation_label_not_verified_organization
"Harbin Institute of Technology (Shenzhen), China",1,affiliation_label_not_verified_organization
Harbin Institute of Technology Shenzhen,6,affiliation_label_not_verified_organization
Harbin Institute of Technology(ShenZhen),1,affiliation_label_not_verified_organization
"Harbin Institute of Technology, ShenZhen",1,affiliation_label_not_verified_organization
"Harbin Institute of Technology, Shenzhen",35,affiliation_label_not_verified_organization
"Harbin Institute of Technology, Weihai",1,affiliation_label_not_verified_organization
"Harbin Institute of Techonology, Shenzhen",1,affiliation_label_not_verified_organization
"Harbin Institution of Technology, Shenzhen",1,affiliation_label_not_verified_organization
Harbin institute of Technology (Shenzhen),1,affiliation_label_not_verified_organization
Harbin institute of technology,1,affiliation_label_not_verified_organization
Harvard Medical School,2,affiliation_label_not_verified_organization
Harvard University,3,affiliation_label_not_verified_organization
Hebei University Of Engineering,1,affiliation_label_not_verified_organization
Hefei Institutes of Physical Science,1,affiliation_label_not_verified_organization
"Hefei Institutes of Physical Science, Chinese Academy of Sciences",1,affiliation_label_not_verified_organization
Hefei University of Technology,9,affiliation_label_not_verified_organization
Heidelberg University,1,affiliation_label_not_verified_organization
Heriot-Watt University,7,affiliation_label_not_verified_organization
Heriot-Watt university,1,affiliation_label_not_verified_organization
Hipert Srl,1,affiliation_label_not_verified_organization
Hiroshima University,1,affiliation_label_not_verified_organization
Hitachi America,1,affiliation_label_not_verified_organization
"Hitachi America, Ltd.",1,affiliation_label_not_verified_organization
"Hitachi, Ltd. / Waseda University",1,affiliation_label_not_verified_organization
Ho Chi Minh City University of Technology - Vietnam National University,1,affiliation_label_not_verified_organization
Hochschule Bonn-Rhein-Sieg,1,affiliation_label_not_verified_organization
Hokkaido University,1,affiliation_label_not_verified_organization
Holiday Robotics,2,affiliation_label_not_verified_organization
Honda R&D Co Ltd,1,affiliation_label_not_verified_organization
Honda R&D Co. Ltd.,1,affiliation_label_not_verified_organization
"Honda R&D Co., Ltd",1,affiliation_label_not_verified_organization
"Honda R&D Co., Ltd.",3,affiliation_label_not_verified_organization
Honda Research Institute - USA,1,affiliation_label_not_verified_organization
Honda Research Institute Europe GmbH,2,affiliation_label_not_verified_organization
Honda Research Institute USA,1,affiliation_label_not_verified_organization
"Honda Research Institute USA, Inc.",1,affiliation_label_not_verified_organization
"Honda Research Institute, US",1,affiliation_label_not_verified_organization
"Honda Research Institute, USA",3,affiliation_label_not_verified_organization
Hong Kong Polytechnic University,2,affiliation_label_not_verified_organization
Hong Kong University of Science and Technology,13,affiliation_label_not_verified_organization
Hong Kong University of Science and Technology (GuangZhou),1,affiliation_label_not_verified_organization
Hong Kong University of Science and Technology (Guangzhou),12,affiliation_label_not_verified_organization
Hong Kong university of Science and Technology(HKUST),1,affiliation_label_not_verified_organization
Hong kong university of science and technology,1,affiliation_label_not_verified_organization
HongKong University of Science and Technology (Guangzhou),1,affiliation_label_not_verified_organization
HongKong University of Science and Technology(Guangzhou),1,affiliation_label_not_verified_organization
Honor,1,affiliation_label_not_verified_organization
Hosei University,2,affiliation_label_not_verified_organization
HuNan University,1,affiliation_label_not_verified_organization
Huawei,11,affiliation_label_not_verified_organization
"Huawei Cloud Computing Technologies Co.,Ltd.",1,affiliation_label_not_verified_organization
Huawei Hong Kong Research Center,2,affiliation_label_not_verified_organization
Huawei Technologies,4,affiliation_label_not_verified_organization
Huawei Technologies Canada,2,affiliation_label_not_verified_organization
"Huawei Technologies Co., Ltd.",3,affiliation_label_not_verified_organization
Huawei Technologies Research & Development,1,affiliation_label_not_verified_organization
Huazhong Agricultural University,3,affiliation_label_not_verified_organization
Huazhong Argricultural University,1,affiliation_label_not_verified_organization
Huazhong Univ. of Sci. & Tech.,1,affiliation_label_not_verified_organization
Huazhong Univ. of Science & Tech,1,affiliation_label_not_verified_organization
Huazhong University Of Science And Technology,2,affiliation_label_not_verified_organization
Huazhong University of Science & Technology,2,affiliation_label_not_verified_organization
Huazhong University of Science and Technology,59,affiliation_label_not_verified_organization
Huazhong University of Science andTechnology,1,affiliation_label_not_verified_organization
Huazhong University of scicence and technology,1,affiliation_label_not_verified_organization
Huazhong University of science and technology,3,affiliation_label_not_verified_organization
"Huazhong University, Wuhan, 430073, China",1,affiliation_label_not_verified_organization
"Hubei Humanoid Robot Innovation Center Co., Ltd.",1,affiliation_label_not_verified_organization
"Human Centered Robotics Lab, UT Austin, USA",1,affiliation_label_not_verified_organization
Humbda Lab,2,affiliation_label_not_verified_organization
Hunan University,27,affiliation_label_not_verified_organization
Hunan university,5,affiliation_label_not_verified_organization
"Huzhou Institude of Zhejiang University,Zhejiang University",1,affiliation_label_not_verified_organization
Huzhou Institute of Zhejiang University,2,affiliation_label_not_verified_organization
Hyundai Motor Company,7,affiliation_label_not_verified_organization
Hyundai Motor Company (HMC),1,affiliation_label_not_verified_organization
Hyundai Motor Company RoboticsLab,1,affiliation_label_not_verified_organization
Hyundai Motors Company,2,affiliation_label_not_verified_organization
I2R,1,affiliation_label_not_verified_organization
"I2R, ASTAR",1,affiliation_label_not_verified_organization
IDEA Research,1,affiliation_label_not_verified_organization
IDSIA,2,affiliation_label_not_verified_organization
IDSIA USI-SUPSI,4,affiliation_label_not_verified_organization
IFSTTAR,1,affiliation_label_not_verified_organization
IHMC,1,affiliation_label_not_verified_organization
IIIA-CSIC,1,affiliation_label_not_verified_organization
IIIT Hyderabad,5,affiliation_label_not_verified_organization
IISER Bhopal,1,affiliation_label_not_verified_organization
"IISc, IIIT Hyderabad",1,affiliation_label_not_verified_organization
IIT KANPUR,1,affiliation_label_not_verified_organization
IIT Kanpur,1,affiliation_label_not_verified_organization
IIT MANDI,1,affiliation_label_not_verified_organization
IIT Madras,1,affiliation_label_not_verified_organization
IIT Mandi,4,affiliation_label_not_verified_organization
INAIL,1,affiliation_label_not_verified_organization
INESCTEC,1,affiliation_label_not_verified_organization
INRIA,5,affiliation_label_not_verified_organization
INRIA Lyon,1,affiliation_label_not_verified_organization
INRIA Nancy - Grand Est,1,affiliation_label_not_verified_organization
INSA de Lyon,1,affiliation_label_not_verified_organization
INSTITUTE OF AUTOMATION CHINESE ACADEMY OF SCIENCES,1,affiliation_label_not_verified_organization
IRISA-CNRS,2,affiliation_label_not_verified_organization
"IRL 2010 CROSSING, CNRS",1,affiliation_label_not_verified_organization
ISEP-Instituto Superior de Engenharia do Porto,1,affiliation_label_not_verified_organization
"ISIR, Sorbonne Université",1,affiliation_label_not_verified_organization
ITK System Engineering,1,affiliation_label_not_verified_organization
Ideativa,1,affiliation_label_not_verified_organization
Idiap Research Institute,1,affiliation_label_not_verified_organization
Illinois Institute of Technology,1,affiliation_label_not_verified_organization
Imperial Colledge London,1,affiliation_label_not_verified_organization
Imperial College London,23,affiliation_label_not_verified_organization
"Imperial College London, UK",3,affiliation_label_not_verified_organization
"Imperial College of Science, Technology and Medicine",1,affiliation_label_not_verified_organization
Imperial collage London,1,affiliation_label_not_verified_organization
Incheon National University (INU),1,affiliation_label_not_verified_organization
Independent,2,affiliation_label_not_verified_organization
Independent Researcher,11,affiliation_label_not_verified_organization
Indian Institute of Information Technology Surat,1,affiliation_label_not_verified_organization
Indian Institute of Science,6,affiliation_label_not_verified_organization
Indian Institute of Science Bengaluru,2,affiliation_label_not_verified_organization
"Indian Institute of Science Education and Research, Bhopal",1,affiliation_label_not_verified_organization
"Indian Institute of Science, Bangalore",1,affiliation_label_not_verified_organization
"Indian Institute of Science, Bengaluru, Karnataka, India",1,affiliation_label_not_verified_organization
Indian Institute of Technology Bombay,1,affiliation_label_not_verified_organization
Indian Institute of Technology Kanpur,1,affiliation_label_not_verified_organization
Indian Institute of Technology Madras,3,affiliation_label_not_verified_organization
"Indian Institute of Technology, Kanpur",1,affiliation_label_not_verified_organization
Indiana University,3,affiliation_label_not_verified_organization
Indiana University Bloomington,7,affiliation_label_not_verified_organization
Information Engineering University,3,affiliation_label_not_verified_organization
"Information Institute, Ministry of Emergency Management of the People's Republic of China",1,affiliation_label_not_verified_organization
Information Technology and Human Factors,1,affiliation_label_not_verified_organization
Inha University,3,affiliation_label_not_verified_organization
Inha university,2,affiliation_label_not_verified_organization
Inner Mongolia University,1,affiliation_label_not_verified_organization
Innopolis University,1,affiliation_label_not_verified_organization
"Innovation Institute of Intelligent Robotics Shenyang Co., Ltd",1,affiliation_label_not_verified_organization
Inria,4,affiliation_label_not_verified_organization
Inria Grenoble,1,affiliation_label_not_verified_organization
Inria Lille,2,affiliation_label_not_verified_organization
Inria Lyon,1,affiliation_label_not_verified_organization
Inria Rennes,1,affiliation_label_not_verified_organization
"Inria, Ecole Normale Superieure Paris",1,affiliation_label_not_verified_organization
Institut Teknologi Bandung,1,affiliation_label_not_verified_organization
Institut des Systèmes Intelligents et de Robotique,1,affiliation_label_not_verified_organization
"Institute for AI Industry Research(AIR), Tsinghua University",1,affiliation_label_not_verified_organization
Institute for Computer Science and Control (SZTAKI) and Eötvös Loránd University (ELTE),1,affiliation_label_not_verified_organization
"Institute for Creative Technologies, University of Southern California",1,affiliation_label_not_verified_organization
"Institute for Electronics and Information Technology in Tianjin, Tsinghua University",1,affiliation_label_not_verified_organization
Institute for Infocomm Research,3,affiliation_label_not_verified_organization
"Institute for Infocomm Research, A*STAR",1,affiliation_label_not_verified_organization
"Institute for Infocomm Research, A*STAR, Singapore",1,affiliation_label_not_verified_organization
"Institute for Material Handling and Logistics (IFL), Karlsruhe Institute of Technology (KIT)",1,affiliation_label_not_verified_organization
"Institute for Systems Research, University of Maryland, College Park, MD 20742, USA",1,affiliation_label_not_verified_organization
"Institute of Artificial Intelligence (TeleAI), China Telecom",1,affiliation_label_not_verified_organization
"Institute of Artificial Intelligence, Hefei Comprehensive National Science Center",2,affiliation_label_not_verified_organization
Institute of Automation,1,affiliation_label_not_verified_organization
"Institute of Automation, Chinese Academy of Science",3,affiliation_label_not_verified_organization
"Institute of Automation, Chinese Academy of Sciences",46,affiliation_label_not_verified_organization
"Institute of Automation, Chinese Academy of Sciences, University of Chinese Academy of Sciences",1,affiliation_label_not_verified_organization
"Institute of Automation,Chinese Academy of Sciences",2,affiliation_label_not_verified_organization
Institute of Automation，Chinese Academy of Sciences,4,affiliation_label_not_verified_organization
"Institute of Computing Technology, Chinese Academy",1,affiliation_label_not_verified_organization
"Institute of Computing Technology, Chinese Academy of Science",1,affiliation_label_not_verified_organization
"Institute of Computing Technology, Chinese Academy of Sciences",2,affiliation_label_not_verified_organization
"Institute of Optics and Electronics, Chinese Academy of Sciences",5,affiliation_label_not_verified_organization
Institute of Science Tokyo,16,affiliation_label_not_verified_organization
"Institute of Software, Chinese Academy of Sciences",2,affiliation_label_not_verified_organization
"Institute of automation, Chinese academy of science",1,affiliation_label_not_verified_organization
"Institute of automation, Chinese academy of sciences",1,affiliation_label_not_verified_organization
"Institution of Computer Technology, Chinese Academy of Science",1,affiliation_label_not_verified_organization
Instituto Tecnologico de Aragon,1,affiliation_label_not_verified_organization
Instituto Tecnológico de Aragón,2,affiliation_label_not_verified_organization
Intel,4,affiliation_label_not_verified_organization
"Intelligent Communication Systems Laboratory (ICSLab), PHENIKAA University, Hanoi 12116, Viet Nam",1,affiliation_label_not_verified_organization
Intelligent Manufacturing Institute of Sany Heavy Industry,1,affiliation_label_not_verified_organization
"Intelligent Space Robotics Laboratory, Skolkovo Institute of Science and Technology",2,affiliation_label_not_verified_organization
"Intelligent Space Robotics Laboratory, skoltech",1,affiliation_label_not_verified_organization
International Digital Economy Academy,1,affiliation_label_not_verified_organization
"International Institute of Information Technology , Hyderabad",1,affiliation_label_not_verified_organization
International Institute of Information Technology - Hyderabad,4,affiliation_label_not_verified_organization
International Institute of Information Technology Hyderabad,3,affiliation_label_not_verified_organization
International Institute of Information Technology Hyderabad (IIITH),1,affiliation_label_not_verified_organization
"International Institute of Information Technology,",1,affiliation_label_not_verified_organization
"International Institute of Information Technology, Hyderabad",4,affiliation_label_not_verified_organization
"International Institute of Information Technology, Hyderabad (IIIT-H)",1,affiliation_label_not_verified_organization
Invisalign Japan G.K.,1,affiliation_label_not_verified_organization
Iowa State University,9,affiliation_label_not_verified_organization
Iran University of Science and Technology,1,affiliation_label_not_verified_organization
Istanbul Technical University,4,affiliation_label_not_verified_organization
"Istanbul Technical University, Ford Otosan",1,affiliation_label_not_verified_organization
Istituto Italiano di Tecnologia,21,affiliation_label_not_verified_organization
Istituto Italiano di Tecnologia (IIT),1,affiliation_label_not_verified_organization
Italian Institute of Technology,6,affiliation_label_not_verified_organization
JAXA,1,affiliation_label_not_verified_organization
JD,1,affiliation_label_not_verified_organization
JD Explore Academy,1,affiliation_label_not_verified_organization
JD Logistics,4,affiliation_label_not_verified_organization
"JD.com, Inc.",1,affiliation_label_not_verified_organization
JP Morgan Chase,1,affiliation_label_not_verified_organization
Jagiellonian University in Kraków.,1,affiliation_label_not_verified_organization
Japan Advanced Institute of Science and Technology,5,affiliation_label_not_verified_organization
Japan Agency for Marine-Earth Science and Technology,3,affiliation_label_not_verified_organization
Jaume-I University,1,affiliation_label_not_verified_organization
Jet Propulsion Laboratory,5,affiliation_label_not_verified_organization
Jet Propulsion Laboratory - California Institute of Technology,1,affiliation_label_not_verified_organization
"Jet Propulsion Laboratory, California Institute of Technology",1,affiliation_label_not_verified_organization
Jianghuai Advance Technology Center,1,affiliation_label_not_verified_organization
Jiangsu University of Science and Technology,2,affiliation_label_not_verified_organization
Jiangxi Provincial Communication Terminal Industry Technology Research Institute Co.,1,affiliation_label_not_verified_organization
Jilin University,9,affiliation_label_not_verified_organization
Jiuquan Satellite Launch Center,1,affiliation_label_not_verified_organization
Johns Hopkins Applied Physics Laboratory,1,affiliation_label_not_verified_organization
Johns Hopkins Medical Institute,1,affiliation_label_not_verified_organization
Johns Hopkins University,21,affiliation_label_not_verified_organization
Johns Hopkins University Applied Physics Lab,2,affiliation_label_not_verified_organization
Johns Hopkins University Applied Physics Laboratory,1,affiliation_label_not_verified_organization
Julius-Maximilians-Universität Würzburg,1,affiliation_label_not_verified_organization
Justus-Liebig-University Giessen,2,affiliation_label_not_verified_organization
KAIST,43,affiliation_label_not_verified_organization
KAIST (Korea Advanced Institute of Science and Technology),4,affiliation_label_not_verified_organization
KAIST(Korea Advanced Institute of Science and Technology),2,affiliation_label_not_verified_organization
"KANDENKO CO., LTD.",1,affiliation_label_not_verified_organization
KAUST,2,affiliation_label_not_verified_organization
KDDI Research Inc.,2,affiliation_label_not_verified_organization
"KDDI Research, Inc.",2,affiliation_label_not_verified_organization
"KE:SAI and University of Tübingen, Tübingen AI Center",1,affiliation_label_not_verified_organization
"KIOS Center of Excellence, University of Cyprus",1,affiliation_label_not_verified_organization
"KIOS Research and Innovation Center of Excellence, University of Cyprus",1,affiliation_label_not_verified_organization
KIST,5,affiliation_label_not_verified_organization
KOREA INSTITUTE OF ROBOTICS & TECHNOLOGY CONVERGENCE,1,affiliation_label_not_verified_organization
KTH,2,affiliation_label_not_verified_organization
KTH - Royal Institute of Technology,1,affiliation_label_not_verified_organization
KTH / Furhat Robotics,1,affiliation_label_not_verified_organization
KTH Royal Institute of Technology,17,affiliation_label_not_verified_organization
KU Leuven,4,affiliation_label_not_verified_organization
KUKA Deutschland GmbH,2,affiliation_label_not_verified_organization
Kaist,1,affiliation_label_not_verified_organization
Kanazawa University,3,affiliation_label_not_verified_organization
Kansas State University,2,affiliation_label_not_verified_organization
Karlsruhe Institut of Technology,1,affiliation_label_not_verified_organization
Karlsruhe Institute for Technology (KIT),1,affiliation_label_not_verified_organization
Karlsruhe Institute of Technology,19,affiliation_label_not_verified_organization
Karlsruhe Institute of Technology (KIT),14,affiliation_label_not_verified_organization
"Karlsruhe Institute of Technology (KIT), Karlsruhe",1,affiliation_label_not_verified_organization
Karlsruhe Institute of Technology - KIT,1,affiliation_label_not_verified_organization
"Karlsruhe Institute of Technology, BMW Group",1,affiliation_label_not_verified_organization
Karlsruhe University of Applied Sciences,6,affiliation_label_not_verified_organization
Keimyung University,2,affiliation_label_not_verified_organization
Keio University,18,affiliation_label_not_verified_organization
Keio university,1,affiliation_label_not_verified_organization
Kennesaw State University,4,affiliation_label_not_verified_organization
Kessler Foundation,1,affiliation_label_not_verified_organization
Khalifa University,9,affiliation_label_not_verified_organization
Khalifa University Robotics and Autonomous Robotics Center,1,affiliation_label_not_verified_organization
Khalifa University of Science and Technology,1,affiliation_label_not_verified_organization
Kiel University,5,affiliation_label_not_verified_organization
Kindai University,1,affiliation_label_not_verified_organization
King Abdullah University of Science and Technology,2,affiliation_label_not_verified_organization
King Saud University,1,affiliation_label_not_verified_organization
King's College London,19,affiliation_label_not_verified_organization
"Kingston University, London, UK",1,affiliation_label_not_verified_organization
"Kios Research and Innovation Center of Excellence, University of Cyprus",1,affiliation_label_not_verified_organization
Klinikum rechts der Isar der TUM,2,affiliation_label_not_verified_organization
Konkuk University,1,affiliation_label_not_verified_organization
Kookmin University,5,affiliation_label_not_verified_organization
Korea Advanced Institute of Science & Technology,1,affiliation_label_not_verified_organization
Korea Advanced Institute of Science & Technology (KAIST),3,affiliation_label_not_verified_organization
Korea Advanced Institute of Science and Technology,28,affiliation_label_not_verified_organization
Korea Advanced Institute of Science and Technology (KAIST),7,affiliation_label_not_verified_organization
Korea Advanced Institute of Science and Technology(KAIST),2,affiliation_label_not_verified_organization
"Korea Advanced Institute of Science and Technology, KAIST",3,affiliation_label_not_verified_organization
Korea Institute of Industrial Technology,1,affiliation_label_not_verified_organization
Korea Institute of Machinery and Materials (KIMM),1,affiliation_label_not_verified_organization
Korea Institute of Robotics and Technology Convergence,1,affiliation_label_not_verified_organization
Korea Institute of Robotics and technology convergence,1,affiliation_label_not_verified_organization
Korea Institute of Science & Technology (KIST),1,affiliation_label_not_verified_organization
Korea Institute of Science and Technology,6,affiliation_label_not_verified_organization
Korea University,15,affiliation_label_not_verified_organization
Korea University of Technology and Education,7,affiliation_label_not_verified_organization
Korea University of Technology and Education (KOREATECH),1,affiliation_label_not_verified_organization
"Korea University, Korea Institute of Science and Technology (KIST)",1,affiliation_label_not_verified_organization
"Korea University, department of Artificial Intelligence",1,affiliation_label_not_verified_organization
Korea university,1,affiliation_label_not_verified_organization
Korea university of Technology and Education,1,affiliation_label_not_verified_organization
Koreatech,1,affiliation_label_not_verified_organization
Kuban State University,2,affiliation_label_not_verified_organization
Kumoh National Institute of Technology,2,affiliation_label_not_verified_organization
Kyonggi University,1,affiliation_label_not_verified_organization
Kyoto University,5,affiliation_label_not_verified_organization
Kyoto University of Advanced Science,3,affiliation_label_not_verified_organization
Kyung Hee University,3,affiliation_label_not_verified_organization
Kyung-Hee University,1,affiliation_label_not_verified_organization
Kyung-hee University,1,affiliation_label_not_verified_organization
KyungHee University,1,affiliation_label_not_verified_organization
Kyungpook National University,7,affiliation_label_not_verified_organization
Kyungpook national university,1,affiliation_label_not_verified_organization
Kyushu Institute of Technology,4,affiliation_label_not_verified_organization
Kyushu University,8,affiliation_label_not_verified_organization
Kyushu university,2,affiliation_label_not_verified_organization
"LAAS, Toulouse, France",1,affiliation_label_not_verified_organization
LAAS-CNRS,1,affiliation_label_not_verified_organization
"LEIA Lab, RPI, USA",3,affiliation_label_not_verified_organization
LIRMM University of Montpellier CNRS,1,affiliation_label_not_verified_organization
"LIRMM, Univ Montpellier, CNRS, Montpellier, France.",1,affiliation_label_not_verified_organization
LISSI,1,affiliation_label_not_verified_organization
LMU Munich,4,affiliation_label_not_verified_organization
Laval University,2,affiliation_label_not_verified_organization
Lehigh University,7,affiliation_label_not_verified_organization
Leju Robotics,1,affiliation_label_not_verified_organization
Li AUTO Inc.,1,affiliation_label_not_verified_organization
Li Auto Inc.,8,affiliation_label_not_verified_organization
LiAuto,1,affiliation_label_not_verified_organization
Liauto Inc.,1,affiliation_label_not_verified_organization
Liebherr Hydraulikbagger GmbH,3,affiliation_label_not_verified_organization
LimX Dynamics,1,affiliation_label_not_verified_organization
Linde,1,affiliation_label_not_verified_organization
Lingang Laboratory,3,affiliation_label_not_verified_organization
Linkerbot,1,affiliation_label_not_verified_organization
"Linkerbot (Beijing) Technology Co., Ltd.",1,affiliation_label_not_verified_organization
"Linkerbot Beijing Technology Co., Ltd.",1,affiliation_label_not_verified_organization
Linkoping University,1,affiliation_label_not_verified_organization
Linköping University,2,affiliation_label_not_verified_organization
Lockheed Martin,1,affiliation_label_not_verified_organization
"Lockheed Martin, Columbia University",1,affiliation_label_not_verified_organization
Logogramma srl,1,affiliation_label_not_verified_organization
Loughborough University,1,affiliation_label_not_verified_organization
Louisiana State University,3,affiliation_label_not_verified_organization
Ludwig Maximilian University of Munich,1,affiliation_label_not_verified_organization
Lulea technical University,1,affiliation_label_not_verified_organization
Luleå University of Technology,5,affiliation_label_not_verified_organization
"Luleå University of Technology, Luleå, Sweden",2,affiliation_label_not_verified_organization
Lumos Robotics,1,affiliation_label_not_verified_organization
Lund University,2,affiliation_label_not_verified_organization
"Luoteng Hangzhou Techonlogy Co.,Ltd.",1,affiliation_label_not_verified_organization
MBZUAI,5,affiliation_label_not_verified_organization
MEGVII Technology,1,affiliation_label_not_verified_organization
MERL,1,affiliation_label_not_verified_organization
"MICROSOFT DEVELOPMENT CENTER COPENHAGEN ApS, Kgs. Lyngby",1,affiliation_label_not_verified_organization
MIT,34,affiliation_label_not_verified_organization
MIT EECS,1,affiliation_label_not_verified_organization
MIT Lincoln Laboratory,4,affiliation_label_not_verified_organization
MIT-WPU Robocon Tech Team,1,affiliation_label_not_verified_organization
MOCE Robotics,2,affiliation_label_not_verified_organization
Macao Polytechnic University,1,affiliation_label_not_verified_organization
Macao university of Science and Technology,1,affiliation_label_not_verified_organization
Macau University,1,affiliation_label_not_verified_organization
Macau University of Science and Technology,4,affiliation_label_not_verified_organization
Macquarie University,6,affiliation_label_not_verified_organization
Maicro,2,affiliation_label_not_verified_organization
Manifold Tech Limited,1,affiliation_label_not_verified_organization
MassRobotics,1,affiliation_label_not_verified_organization
Massachusetts General Hospital,1,affiliation_label_not_verified_organization
Massachusetts Institute of Tech.,1,affiliation_label_not_verified_organization
Massachusetts Institute of Technology,49,affiliation_label_not_verified_organization
Massachusetts Institute of Technology (MIT),1,affiliation_label_not_verified_organization
"Master’s Student, University of Science and Technology Beijing, China",1,affiliation_label_not_verified_organization
Max Planck Institute for Intelligent Systems,3,affiliation_label_not_verified_organization
Max Planck Institute for Software Systems,1,affiliation_label_not_verified_organization
Max-Planck Institute of Animal Behavior,1,affiliation_label_not_verified_organization
McGill University,7,affiliation_label_not_verified_organization
McMaster University,6,affiliation_label_not_verified_organization
MediaTek Inc.,1,affiliation_label_not_verified_organization
"Medical Imaging Center, Qilu Second Hospital of Shandong University",1,affiliation_label_not_verified_organization
Medisch Spectrum Twente,1,affiliation_label_not_verified_organization
Meituan,3,affiliation_label_not_verified_organization
Meituan Inc,1,affiliation_label_not_verified_organization
Meituan Technology,1,affiliation_label_not_verified_organization
Meituan inc.,3,affiliation_label_not_verified_organization
Meituan-Dianping Group,1,affiliation_label_not_verified_organization
Mercedes-Benz AG,5,affiliation_label_not_verified_organization
"Mercedes-Benz AG, Karlsruhe Institute of Technology",1,affiliation_label_not_verified_organization
"Mercedes-Benz AG, University of Tübingen",1,affiliation_label_not_verified_organization
Meta,5,affiliation_label_not_verified_organization
Meta AI,2,affiliation_label_not_verified_organization
Meta Reality Labs,2,affiliation_label_not_verified_organization
Michigan State University,14,affiliation_label_not_verified_organization
Michigan Technological University,7,affiliation_label_not_verified_organization
Microsoft,2,affiliation_label_not_verified_organization
Microsoft Research,1,affiliation_label_not_verified_organization
Microsoft Research Asia,1,affiliation_label_not_verified_organization
Middle East Technical University,5,affiliation_label_not_verified_organization
"Midea Group (Shanghai) Co., Ltd.",1,affiliation_label_not_verified_organization
Mila - Quebec AI Institute,1,affiliation_label_not_verified_organization
Mines Paris - PSL,1,affiliation_label_not_verified_organization
